,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
innovations[6],-0.311,0.955,-2.016,1.53,0.014,0.019,4354.0,2092.0,1.0
innovations[7],-0.464,0.961,-2.262,1.255,0.016,0.017,3519.0,2155.0,1.0
innovations[8],-0.605,0.948,-2.32,1.147,0.015,0.019,4159.0,2341.0,1.0
innovations[9],-0.474,0.927,-2.118,1.294,0.015,0.018,3895.0,2045.0,1.0
innovations[10],-0.287,0.952,-2.168,1.353,0.017,0.019,3245.0,2255.0,1.0
innovations[11],-0.172,0.935,-1.847,1.595,0.015,0.018,3822.0,2151.0,1.0
innovations[12],-0.058,0.933,-1.813,1.672,0.015,0.017,3652.0,2205.0,1.0
innovations[13],0.043,0.899,-1.507,1.839,0.015,0.016,3823.0,2457.0,1.0
innovations[14],-0.171,0.922,-1.866,1.645,0.015,0.017,3966.0,2145.0,1.0
innovations[15],-0.094,0.958,-1.964,1.637,0.015,0.018,4175.0,2229.0,1.0
innovations[16],-0.361,0.965,-2.077,1.516,0.016,0.02,3720.0,1921.0,1.0
innovations[17],-0.245,0.936,-2.036,1.421,0.015,0.017,4152.0,2324.0,1.0
innovations[18],-0.205,0.942,-2.034,1.466,0.014,0.017,4272.0,2397.0,1.0
innovations[19],-0.121,0.942,-1.895,1.61,0.016,0.017,3609.0,2299.0,1.0
innovations[20],0.015,0.934,-1.807,1.656,0.015,0.018,4204.0,2218.0,1.0
innovations[21],0.084,0.944,-1.689,1.839,0.015,0.018,4067.0,2419.0,1.0
innovations[22],0.135,0.958,-1.632,1.88,0.015,0.023,3817.0,1952.0,1.0
innovations[23],0.228,0.962,-1.62,1.998,0.016,0.02,3749.0,2080.0,1.0
innovations[24],0.33,0.936,-1.444,2.022,0.015,0.017,3665.0,2419.0,1.0
innovations[25],0.365,0.96,-1.326,2.239,0.016,0.021,3419.0,1887.0,1.0
innovations[26],0.515,0.934,-1.27,2.287,0.014,0.018,4672.0,2392.0,1.0
innovations[27],0.663,0.929,-1.093,2.388,0.016,0.019,3520.0,2094.0,1.0
innovations[28],0.817,0.967,-0.974,2.605,0.018,0.02,2887.0,2012.0,1.0
innovations[29],1.047,0.947,-0.617,2.9,0.014,0.017,4434.0,2161.0,1.0
innovations[30],0.659,0.918,-0.921,2.502,0.015,0.017,3773.0,2203.0,1.0
innovations[31],0.694,0.909,-0.998,2.393,0.015,0.017,3563.0,2266.0,1.0
innovations[32],0.444,0.888,-1.294,2.018,0.013,0.017,4713.0,2087.0,1.0
innovations[33],0.365,0.884,-1.141,2.172,0.015,0.018,3565.0,1971.0,1.0
innovations[34],0.279,0.897,-1.396,2.003,0.014,0.018,3971.0,1920.0,1.0
innovations[35],0.269,0.869,-1.27,2.018,0.014,0.017,3982.0,2078.0,1.0
innovations[36],-0.087,0.875,-1.782,1.508,0.016,0.015,3154.0,2136.0,1.0
innovations[37],-0.009,0.852,-1.611,1.556,0.014,0.015,3918.0,2336.0,1.0
innovations[38],0.051,0.877,-1.51,1.716,0.015,0.016,3346.0,2240.0,1.0
innovations[39],0.103,0.883,-1.444,1.843,0.015,0.018,3465.0,1921.0,1.0
innovations[40],0.142,0.867,-1.448,1.76,0.014,0.016,3777.0,1974.0,1.0
innovations[41],-0.082,0.869,-1.738,1.461,0.014,0.017,3868.0,2037.0,1.0
innovations[42],0.027,0.87,-1.629,1.64,0.014,0.016,3659.0,2143.0,1.0
innovations[43],0.114,0.856,-1.482,1.657,0.015,0.016,3281.0,1987.0,1.0
innovations[44],0.57,0.861,-1.097,2.101,0.015,0.016,3518.0,2283.0,1.0
innovations[45],0.913,0.835,-0.571,2.515,0.015,0.015,3178.0,2345.0,1.0
innovations[46],1.529,0.807,-0.067,2.943,0.014,0.016,3343.0,1952.0,1.0
innovations[47],2.725,0.739,1.288,4.031,0.013,0.013,3298.0,2167.0,1.0
innovations[48],-0.729,0.673,-1.878,0.586,0.012,0.012,3281.0,2471.0,1.0
innovations[49],-1.583,0.733,-2.942,-0.23,0.013,0.013,3089.0,1835.0,1.0
innovations[50],-1.401,0.807,-2.928,0.112,0.014,0.017,3471.0,2541.0,1.0
innovations[51],-1.14,0.854,-2.682,0.476,0.015,0.016,3360.0,2048.0,1.0
innovations[52],-0.744,0.835,-2.26,0.842,0.013,0.016,3866.0,2126.0,1.0
innovations[53],-0.254,0.846,-1.777,1.358,0.013,0.016,4129.0,2297.0,1.0
innovations[54],-0.503,0.883,-2.324,0.995,0.014,0.018,4106.0,2446.0,1.0
innovations[55],-0.509,0.864,-2.082,1.156,0.014,0.016,3940.0,2268.0,1.0
innovations[56],-0.333,0.861,-1.947,1.242,0.014,0.017,3700.0,2368.0,1.0
innovations[57],-0.172,0.884,-1.895,1.477,0.014,0.017,3898.0,2081.0,1.0
innovations[58],-0.038,0.899,-1.708,1.7,0.015,0.017,3499.0,1939.0,1.0
innovations[59],0.395,0.881,-1.327,2.0,0.015,0.016,3413.0,2202.0,1.0
innovations[60],0.583,0.862,-1.016,2.185,0.015,0.015,3174.0,2040.0,1.0
innovations[61],0.891,0.89,-0.802,2.505,0.015,0.019,3603.0,1998.0,1.0
innovations[62],1.08,0.883,-0.625,2.689,0.015,0.017,3305.0,2117.0,1.0
innovations[63],1.975,0.84,0.481,3.595,0.016,0.015,2894.0,2115.0,1.0
innovations[64],-0.808,0.801,-2.294,0.735,0.013,0.016,4072.0,2257.0,1.0
innovations[65],-0.699,0.814,-2.136,0.887,0.013,0.016,3661.0,2132.0,1.0
innovations[66],-0.284,0.81,-1.793,1.23,0.015,0.016,3068.0,2148.0,1.0
innovations[67],0.01,0.817,-1.58,1.445,0.014,0.016,3486.0,2086.0,1.0
innovations[68],-0.013,0.839,-1.66,1.459,0.014,0.015,3387.0,2294.0,1.0
innovations[69],-0.093,0.821,-1.716,1.352,0.014,0.016,3316.0,2310.0,1.0
innovations[70],-0.157,0.832,-1.62,1.524,0.015,0.015,3125.0,2197.0,1.0
innovations[71],0.087,0.823,-1.398,1.642,0.014,0.016,3603.0,2204.0,1.0
innovations[72],-0.391,0.839,-1.947,1.197,0.013,0.015,4084.0,2041.0,1.0
innovations[73],-0.615,0.851,-2.134,1.089,0.015,0.015,3407.0,2280.0,1.0
innovations[74],-0.788,0.879,-2.415,0.846,0.016,0.016,3084.0,2105.0,1.0
innovations[75],-0.732,0.866,-2.336,0.936,0.014,0.016,3731.0,2330.0,1.0
innovations[76],-0.229,0.891,-1.934,1.343,0.014,0.022,3863.0,2020.0,1.0
innovations[77],-0.439,0.907,-2.229,1.171,0.015,0.019,3860.0,2219.0,1.0
innovations[78],-0.36,0.916,-1.96,1.536,0.014,0.018,4191.0,1999.0,1.0
innovations[79],-0.28,0.919,-2.038,1.374,0.014,0.018,4116.0,2022.0,1.0
innovations[80],-0.273,0.951,-2.134,1.4,0.015,0.018,3820.0,2222.0,1.0
innovations[81],0.037,0.956,-1.671,1.895,0.016,0.018,3414.0,2201.0,1.0
innovations[82],-0.002,0.943,-1.66,1.881,0.014,0.018,4823.0,2260.0,1.0
innovations[83],0.306,0.96,-1.502,2.087,0.015,0.02,4032.0,2011.0,1.0
innovations[84],0.146,0.947,-1.628,1.916,0.015,0.021,3949.0,2109.0,1.0
innovations[85],0.424,0.938,-1.323,2.193,0.015,0.021,3903.0,2018.0,1.0
innovations[86],0.344,0.916,-1.384,2.033,0.014,0.017,4271.0,2634.0,1.0
innovations[87],0.297,0.906,-1.413,2.042,0.013,0.019,4521.0,2346.0,1.0
innovations[88],-0.095,0.941,-1.842,1.642,0.016,0.018,3373.0,2102.0,1.0
innovations[89],-0.128,0.921,-1.888,1.508,0.014,0.015,4421.0,1995.0,1.0
innovations[90],-0.194,0.944,-1.954,1.545,0.016,0.02,3289.0,1451.0,1.0
innovations[91],-0.236,0.924,-1.943,1.511,0.014,0.02,4272.0,1923.0,1.0
innovations[92],-0.308,0.935,-2.072,1.405,0.018,0.017,2842.0,1993.0,1.0
innovations[93],-0.064,0.949,-1.834,1.693,0.015,0.018,3769.0,2310.0,1.0
innovations[94],-0.207,0.929,-1.926,1.482,0.016,0.018,3585.0,2250.0,1.0
innovations[95],0.065,0.939,-1.62,1.877,0.014,0.018,4296.0,2108.0,1.0
innovations[96],-0.083,0.904,-1.801,1.567,0.015,0.017,3741.0,2370.0,1.0
innovations[97],-0.238,0.932,-2.007,1.49,0.015,0.016,4045.0,2298.0,1.0
innovations[98],-0.368,0.965,-2.23,1.352,0.015,0.019,4364.0,2248.0,1.0
innovations[99],-0.553,0.961,-2.279,1.283,0.016,0.018,3449.0,1704.0,1.0
innovations[100],-0.396,0.99,-2.174,1.445,0.015,0.022,4364.0,1892.0,1.0
innovations[101],-0.268,0.962,-2.063,1.445,0.016,0.017,3624.0,2069.0,1.0
innovations[102],-0.178,0.927,-1.902,1.558,0.016,0.016,3428.0,2326.0,1.0
innovations[103],-0.417,0.926,-2.087,1.342,0.015,0.019,3957.0,2233.0,1.0
innovations[104],-0.28,0.947,-2.038,1.464,0.016,0.017,3595.0,2005.0,1.0
innovations[105],-0.542,0.959,-2.321,1.246,0.015,0.018,3894.0,2392.0,1.0
innovations[106],-0.486,0.981,-2.309,1.358,0.015,0.02,4529.0,2354.0,1.0
innovations[107],-0.409,0.971,-2.181,1.457,0.015,0.021,4284.0,2171.0,1.0
innovations[108],-0.359,0.955,-2.266,1.352,0.015,0.019,3960.0,2201.0,1.0
innovations[109],-0.3,0.939,-2.03,1.406,0.014,0.017,4213.0,2300.0,1.0
innovations[110],-0.271,0.994,-2.166,1.571,0.016,0.02,4086.0,1900.0,1.0
innovations[111],-0.209,0.957,-1.926,1.64,0.015,0.017,3939.0,2133.0,1.0
innovations[112],-0.211,0.972,-2.085,1.512,0.016,0.017,3744.0,2116.0,1.0
innovations[113],-0.153,0.946,-1.961,1.577,0.015,0.016,3873.0,2052.0,1.0
innovations[114],-0.135,0.962,-1.982,1.56,0.016,0.019,3519.0,1957.0,1.0
innovations[115],-0.085,0.953,-1.84,1.64,0.014,0.017,4504.0,2227.0,1.0
innovations[116],-0.031,0.938,-1.769,1.735,0.014,0.02,4499.0,2204.0,1.0
innovations[117],-0.014,0.955,-1.795,1.783,0.014,0.019,4380.0,2092.0,1.0
innovations[118],-0.014,0.972,-1.901,1.793,0.016,0.02,3649.0,2044.0,1.0
innovations[119],0.045,0.971,-1.796,1.84,0.014,0.018,4516.0,2302.0,1.0
